INT	INT	STRING	STRING
Index	同城频道编号	起始IP	结束IP
0	1	0.0.0.0	36.11.255.255
1	8852	36.12.0.0	36.12.255.255
2	1	36.13.0.0	58.13.255.255
3	531	58.14.0.0	58.15.255.255
4	851	58.16.0.0	58.16.111.255
5	854	58.16.112.0	58.16.127.255
6	851	58.16.128.0	58.16.207.255
7	858	58.16.208.0	58.16.209.255
8	851	58.16.210.0	58.16.255.255
9	791	58.17.0.0	58.17.29.255
10	792	58.17.30.0	58.17.31.255
11	791	58.17.32.0	58.17.35.255
12	792	58.17.36.0	58.17.36.255
13	791	58.17.37.0	58.17.87.255
14	701	58.17.88.0	58.17.88.255
15	791	58.17.89.0	58.17.95.255
16	794	58.17.96.0	58.17.98.255
17	791	58.17.99.0	58.17.103.255
18	793	58.17.104.0	58.17.106.255
19	791	58.17.107.0	58.17.113.255
20	797	58.17.114.0	58.17.116.255
21	791	58.17.117.0	58.17.119.255
22	792	58.17.120.0	58.17.127.255
23	23	58.17.128.0	58.17.255.255
24	474	58.18.0.0	58.18.15.255
25	472	58.18.16.0	58.18.31.255
26	477	58.18.32.0	58.18.47.255
27	478	58.18.48.0	58.18.63.255
28	473	58.18.64.0	58.18.71.255
29	471	58.18.72.0	58.18.79.255
30	483	58.18.80.0	58.18.91.255
31	471	58.18.92.0	58.18.95.255
32	474	58.18.96.0	58.18.111.255
33	479	58.18.112.0	58.18.117.255
34	471	58.18.118.0	58.18.118.255
35	479	58.18.119.0	58.18.127.255
36	471	58.18.128.0	58.18.128.255
37	476	58.18.129.0	58.18.143.255
38	475	58.18.144.0	58.18.159.255
39	471	58.18.160.0	58.18.174.255
40	472	58.18.175.0	58.18.177.255
41	471	58.18.178.0	58.18.178.150
42	470	58.18.178.151	58.18.178.151
43	471	58.18.178.152	58.18.181.170
44	470	58.18.181.171	58.18.181.171
45	471	58.18.181.172	58.18.181.201
46	470	58.18.181.202	58.18.181.202
47	471	58.18.181.203	58.18.181.218
48	470	58.18.181.219	58.18.181.219
49	471	58.18.181.220	58.18.181.250
50	470	58.18.181.251	58.18.181.251
51	471	58.18.181.252	58.18.181.252
52	470	58.18.181.253	58.18.181.253
53	471	58.18.181.254	58.18.181.255
54	470	58.18.182.0	58.18.182.255
55	471	58.18.183.0	58.18.187.255
56	470	58.18.188.0	58.18.191.255
57	471	58.18.192.0	58.18.197.255
58	475	58.18.198.0	58.18.211.255
59	478	58.18.212.0	58.18.217.255
60	470	58.18.218.0	58.18.220.4
61	471	58.18.220.5	58.18.220.5
62	470	58.18.220.6	58.18.220.172
63	471	58.18.220.173	58.18.220.173
64	470	58.18.220.174	58.18.220.209
65	471	58.18.220.210	58.18.220.210
66	470	58.18.220.211	58.18.243.255
67	472	58.18.244.0	58.18.244.255
68	471	58.18.245.0	58.18.245.255
69	472	58.18.246.0	58.18.246.255
70	471	58.18.247.0	58.18.247.255
71	477	58.18.248.0	58.18.255.255
72	27	58.19.0.0	58.19.91.255
73	411	58.19.92.0	58.19.98.255
74	27	58.19.99.0	58.19.103.255
75	714	58.19.104.0	58.19.107.255
76	27	58.19.108.0	58.19.128.255
77	716	58.19.129.0	58.19.129.255
78	27	58.19.130.0	58.19.130.255
79	710	58.19.131.0	58.19.131.127
80	717	58.19.131.128	58.19.131.255
81	710	58.19.132.0	58.19.136.255
82	27	58.19.137.0	58.19.138.255
83	713	58.19.139.0	58.19.139.255
84	714	58.19.140.0	58.19.140.255
85	724	58.19.141.0	58.19.141.255
86	714	58.19.142.0	58.19.143.255
87	717	58.19.144.0	58.19.147.255
88	27	58.19.148.0	58.19.148.255
89	714	58.19.149.0	58.19.149.255
90	27	58.19.150.0	58.19.151.255
91	716	58.19.152.0	58.19.155.255
92	27	58.19.156.0	58.19.160.255
93	724	58.19.161.0	58.19.161.255
94	27	58.19.162.0	58.19.167.255
95	722	58.19.168.0	58.19.170.255
96	27	58.19.171.0	58.19.172.255
97	718	58.19.173.0	58.19.175.255
98	717	58.19.176.0	58.19.179.255
99	710	58.19.180.0	58.19.183.255
100	714	58.19.184.0	58.19.187.255
101	716	58.19.188.0	58.19.195.255
102	719	58.19.196.0	58.19.199.255
103	724	58.19.200.0	58.19.202.69
104	27	58.19.202.70	58.19.202.70
105	724	58.19.202.71	58.19.203.255
106	711	58.19.204.0	58.19.205.255
107	27	58.19.206.0	58.19.207.255
108	715	58.19.208.0	58.19.208.255
109	713	58.19.209.0	58.19.209.255
110	715	58.19.210.0	58.19.211.255
111	712	58.19.212.0	58.19.214.255
112	27	58.19.215.0	58.19.219.255
113	716	58.19.220.0	58.19.220.255
114	715	58.19.221.0	58.19.221.255
115	716	58.19.222.0	58.19.231.255
116	710	58.19.232.0	58.19.239.255
117	717	58.19.240.0	58.19.247.255
118	714	58.19.248.0	58.19.249.255
119	27	58.19.250.0	58.19.255.255
120	731	58.20.0.0	58.20.127.255
121	730	58.20.128.0	58.20.159.255
122	734	58.20.160.0	58.20.183.255
123	731	58.20.184.0	58.20.191.255
124	733	58.20.192.0	58.20.206.255
125	731	58.20.207.0	58.20.223.255
126	732	58.20.224.0	58.20.239.255
127	737	58.20.240.0	58.20.247.255
128	731	58.20.248.0	58.20.251.255
129	735	58.20.252.0	58.20.255.255
130	431	58.21.0.0	58.21.255.255
131	591	58.22.0.0	58.22.128.255
132	594	58.22.129.0	58.22.143.255
133	591	58.22.144.0	58.22.191.255
134	598	58.22.192.0	58.22.203.255
135	591	58.22.204.0	58.22.223.255
136	597	58.22.224.0	58.22.239.255
137	591	58.22.240.0	58.23.31.255
138	592	58.23.32.0	58.23.56.255
139	591	58.23.57.0	58.23.65.255
140	595	58.23.66.0	58.23.89.255
141	591	58.23.90.0	58.23.95.255
142	596	58.23.96.0	58.23.111.255
143	591	58.23.112.0	58.23.130.255
144	592	58.23.131.0	58.23.131.255
145	591	58.23.132.0	58.23.255.255
146	21	58.24.0.0	58.25.255.255
147	1	58.26.0.0	58.29.255.255
148	10	58.30.0.0	58.31.255.255
149	21	58.32.0.0	58.41.255.255
150	852	58.42.0.0	58.42.80.255
151	854	58.42.81.0	58.42.81.255
152	852	58.42.82.0	58.42.95.255
153	855	58.42.96.0	58.42.111.255
154	852	58.42.112.0	58.42.127.255
155	856	58.42.128.0	58.42.159.255
156	857	58.42.160.0	58.42.191.255
157	858	58.42.192.0	58.42.223.255
158	851	58.42.224.0	58.42.255.255
159	23	58.43.0.0	58.43.255.255
160	730	58.44.0.0	58.44.127.255
161	743	58.44.128.0	58.44.151.255
162	731	58.44.152.0	58.44.183.255
163	743	58.44.184.0	58.44.191.255
164	731	58.44.192.0	58.44.255.255
165	733	58.45.0.0	58.45.20.15
166	731	58.45.20.16	58.45.20.16
167	733	58.45.20.17	58.45.95.255
168	731	58.45.96.0	58.45.127.255
169	732	58.45.128.0	58.45.255.255
170	738	58.46.0.0	58.46.47.255
171	731	58.46.48.0	58.46.127.255
172	745	58.46.128.0	58.46.207.255
173	731	58.46.208.0	58.46.255.255
174	736	58.47.0.0	58.47.61.245
175	737	58.47.61.246	58.47.61.246
176	736	58.47.61.247	58.47.127.255
177	737	58.47.128.0	58.47.191.255
