INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
规则ID	0-普通怪	1-首领	2-头目	3-宝箱	4-副本BOSS	5-小时BOSS	6-天BOSS	7-无材料铸造	8-保留	9-1级材料铸造	10-2级材料铸造	11-3级材料铸造	12-4级材料铸造	13-5级材料铸造	14-6级材料铸造	15-7级材料铸造	16-8级材料铸造	17-保留1	18-保留2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
10	10	20	30	40	50	60	70	80	-1	90	100	110	120	120	120	120	120	-1	-1
11	11	21	31	41	51	61	71	81	-1	91	101	111	121	121	121	121	121	-1	-1
12	12	22	32	42	52	62	72	82	-1	92	102	112	122	122	122	122	122	-1	-1
13	13	23	33	43	53	63	73	83	-1	93	103	113	123	123	123	123	123	-1	-1
14	14	24	34	44	54	64	74	84	-1	94	104	114	124	124	124	124	124	-1	-1
15	15	25	35	45	55	65	75	85	-1	95	105	115	125	125	125	125	125	-1	-1
16	16	26	36	46	56	66	76	86	-1	96	106	116	126	126	126	126	126	-1	-1
17	17	27	37	47	57	67	77	87	-1	97	107	117	127	127	127	127	127	-1	-1
18	18	28	38	48	58	68	78	88	-1	98	108	118	128	128	128	128	128	-1	-1
19	19	29	39	49	59	69	79	89	-1	99	109	119	129	129	129	129	129	-1	-1
