INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
Data_Index	效果名称$1$	逻辑ID	逻辑ID的说明	是否是持续性效果	瞬发效果ID/驻留效果ID	分类ID（专门用于识别某一类BUFF）	互斥ID(效果互相替换用)	互斥优先级	影响性质	死后是否保留	是否可以被技能驱散	是否可以被手动取消	是否需要引导支持	是否是直通效果	受到伤害时是否消失	开始动作时是否消失	下线就消失否	下线仍然计时否	总持续时间(毫秒)	发作时间间隔(毫秒)	互斥规则是否参考制造者ID	是否需要装备支持	装备的ItemIndex	禁止反射	禁止吸收	参数1说明	参数值	修正步长	参数2说明	参数值	修正步长	参数3说明	参数值	修正步长	参数4说明	参数值	修正步长	参数5说明	参数值	修正步长	参数6说明	参数值	修正步长	参数7说明	参数值	修正步长	参数8说明	参数值	修正步长	参数9说明	参数值	修正步长	参数10说明	参数值	修正步长	参数11说明	参数值	修正步长	参数12说明	参数值	修正步长	参数13说明	参数值	修正步长	参数14说明	参数值	修正步长	参数15说明	参数值	修正步长	参数16说明	参数值	修正步长	效果描述(内部使用)
0	普通攻击的伤害效果， 这一行永远不能删除或者改变.这是缺省效果.	3	STD_IMPACT_003	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0																															普通攻击的伤害
1	测试用治疗效果	4	StdImpact004	0	10	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	4	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	
2	测试用HOT	10	StdImpact010	1	18	-1	50	1	1	0	1	1	0	0	0	0	1	0	30000	3000	0	0	0	0	0	子效果1数据索引	1	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	
3	测试用SOT(MAXs)	11	StdImpact011	1	2	-1	39	1	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	物理攻击+	-64	0	物理防御+	63	0	魔法攻击+	-64	0	魔法防御+	63	0	冰系攻击修正	-10	0	冰系抗性修正	10	0	火系攻击修正	-10	0	火系抗性修正	10	0	电系攻击修正	-10	0	电系抗性修正	10	0	毒系攻击修正	-10	0	毒系抗性修正	10	0	MAX_HP修正	10	0	MAX_MP修正	20	0	MAX_RAGE修正	5	0	MAX_STRIKE_POINT修正	3	0	
4	测试用SOT(HitMis...)	13	StdImpact013	1	62	-1	86	1	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	命中+	50	0	闪避+	100	0	会心攻击+	30	0	会心防御+	0	0			0			0			0			0			0			0			0			0			0			0			0			0	
5	测试用SOT(FaintUnbreakable...)	14	StdImpact014	1	96	-1	96	10	1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	-1	0	"可否移动（CanMove标记,-1为无效）"	1	0	"无敌否（Unbreakable标记,-1为无效）"	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"		0	技能集合ID		0	效果集合ID		0			0			0			0			0	
6	测试用SOT(Stealth...)	14	StdImpact014	1	75	-1	93	1	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	-50	0	隐身级别修正（0为无效）	10	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"		0	技能集合ID		0	效果集合ID		0			0			0			0			0	
7	测试用SOT(Transform...)	14	StdImpact014	1	32	-1	52	1	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	100	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	20	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"		0	技能集合ID		0	效果集合ID		0			0			0			0			0	
8	分身	51	STD_IMPACT_051	1	149	-1	149	10	0	0	1	1	0	0	0	0	1	0	-1	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
