INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	10500002	831	0			
1	10500012	831	0			
2	10501002	831	0			
3	10502002	831	0			
4	10503002	831	0			
5	10503012	831	0			
6	10504002	831	0			
7	10504012	831	0			
8	10505002	831	0			
9	10510012	831	0			
10	10510042	831	0			
11	10510072	831	0			
12	10511012	831	0			
13	10511042	831	0			
14	10511072	831	0			
15	10512012	831	0			
16	10512042	831	0			
17	10512072	831	0			
18	10513022	831	0			
19	10513052	831	0			
20	10513082	831	0			
21	10514022	831	0			
22	10514052	831	0			
23	10514082	831	0			
24	10515022	831	0			
25	10515052	831	0			
26	10515082	831	0			
27	10520002	831	0			
28	10520032	831	0			
29	10520062	831	0			
30	10521002	831	0			
31	10521032	831	0			
32	10521062	831	0			
33	10522002	831	0			
34	10522032	831	0			
35	10522062	831	0			
36	10510013	552	0			
37	10510023	552	0			
38	10510043	552	0			
39	10510053	552	0			
40	10510073	552	0			
41	10510083	552	0			
42	10512003	552	0			
43	10512023	552	0			
44	10512033	552	0			
45	10512053	552	0			
46	10512063	552	0			
47	10512083	552	0			
48	10514003	552	0			
49	10514033	552	0			
50	10514063	552	0			
51	10520013	552	0			
52	10520043	552	0			
53	10520073	552	0			
54	10522003	552	0			
55	10522023	552	0			
56	10522033	552	0			
57	10522053	552	0			
58	10522063	552	0			
59	10522083	552	0			
60	10523013	552	0			
61	10523043	552	0			
62	10523073	552	0			
63	10511004	275	0			
64	10511014	275	0			
65	10511034	275	0			
66	10511044	275	0			
67	10511064	275	0			
68	10511074	275	0			
69	10513004	275	0			
70	10513014	275	0			
71	10513024	275	0			
72	10513034	275	0			
73	10513044	275	0			
74	10513054	275	0			
75	10513064	275	0			
76	10513074	275	0			
77	10513084	275	0			
78	10515004	275	0			
79	10515014	275	0			
80	10515034	275	0			
81	10515044	275	0			
82	10515064	275	0			
83	10515074	275	0			
84	10520024	275	0			
85	10520054	275	0			
86	10520084	275	0			
87	10521004	275	0			
88	10521014	275	0			
89	10521034	275	0			
90	10521044	275	0			
91	10521064	275	0			
92	10521074	275	0			
93	10523024	275	0			
94	10523054	275	0			
95	10523084	275	0			
96	10552024	275	0			
97	10552054	275	0			
98	10552084	275	0			
99	10500005	164	1			
100	10500015	164	1			
101	10501005	164	1			
102	10502005	164	1			
103	10503005	164	1			
104	10503015	164	1			
105	10504005	164	1			
106	10504015	164	1			
107	10505005	164	1			
108	10510005	164	1			
109	10510035	164	1			
110	10510065	164	1			
111	10511025	164	1			
112	10511055	164	1			
113	10511085	164	1			
114	10512015	164	1			
115	10512045	164	1			
116	10512075	164	1			
117	10514015	164	1			
118	10514025	164	1			
119	10514045	164	1			
120	10514055	164	1			
121	10514075	164	1			
122	10514085	164	1			
123	10515025	164	1			
124	10515055	164	1			
125	10515085	164	1			
126	10520005	164	1			
127	10520035	164	1			
128	10520065	164	1			
129	10521025	164	1			
130	10521055	164	1			
131	10521085	164	1			
132	10522015	164	1			
133	10522045	164	1			
134	10522075	164	1			
135	10523005	164	1			
136	10523035	164	1			
137	10523065	164	1			
138	10552005	164	1			
139	10552015	164	1			
140	10552035	164	1			
141	10552045	164	1			
142	10552065	164	1			
143	10552075	164	1			
144	10510006	103	1			
145	10510026	103	1			
146	10510036	103	1			
147	10510056	103	1			
148	10510066	103	1			
149	10510086	103	1			
150	10511016	103	1			
151	10511046	103	1			
152	10511076	103	1			
153	10512026	103	1			
154	10512056	103	1			
155	10512086	103	1			
156	10515006	103	1			
157	10515016	103	1			
158	10515036	103	1			
159	10515046	103	1			
160	10515066	103	1			
161	10515076	103	1			
162	10520006	103	1			
163	10520036	103	1			
164	10520066	103	1			
165	10522026	103	1			
166	10522056	103	1			
167	10522086	103	1			
168	10523006	103	1			
169	10523026	103	1			
170	10523036	103	1			
171	10523056	103	1			
172	10523066	103	1			
173	10523086	103	1			
174	10552016	103	1			
175	10552046	103	1			
176	10552076	103	1			
177	10553016	103	1			
178	10553046	103	1			
179	10553076	103	1			
180	10510017	31	1			
181	10510047	31	1			
182	10510077	31	1			
183	10511007	31	1			
184	10511037	31	1			
185	10511067	31	1			
186	10512017	31	1			
187	10512047	31	1			
188	10512077	31	1			
189	10514007	31	1			
190	10514017	31	1			
191	10514037	31	1			
192	10514047	31	1			
193	10514067	31	1			
