INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
ID	名称$1$	所需等级	最高等级	升级需求和消耗表	操作时间基数	工具ID	工具ID2	辅助平台的有效距离	辅助平台ID	操作动作ID	图标	对应动作表现工具编号（Itemvisuallocator)	技能说明$1$	是否有合成界面	进度条显示的字$1$	消耗活力还是精力（0表示不消耗活力精力，1表示消耗活力，2表示消耗精力，3表示消耗活力和精力）	开始时播放的声音	是否循环 0：不循环 1：循环	成功时播放的声音	失败时播放的声音
1	烹饪	-1	10	pengren.txt	5000	-1	-1	5	-1	118	CommonLiveSkill_6	-1	民以食为天，食物是恢复体力和内力的主要手段。鱼，肉，粮食都可用来制作美味。#r想了解稀世美食？去天荒古境探索吧。#r#r	1	烹饪	1	250	0	-1	-1
2	制药	15	10	zhiyao.txt	5000	-1	-1	5	1	118	CommonLiveSkill_10	-1	不想生病？想变得强壮？拿上药草到炼丹炉旁炼一炉丹药吧。#r想了解稀世灵药？去天荒古境探索吧。	1	制药	1	252	0	-1	-1
3	镶嵌	-1	10	putongshenghuo.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_4	-1	为你的装备附加上绚丽又实用的宝石，能提高你的战斗力哦。	2	镶嵌	2	253	1	-1	-1
4	终极套装	1	10	zhuzao.txt	100	-1	-1	-1	-1	118	Shenqi_3_4	-1	#G新手可进入《至尊天皇》地图历练——掉落：玄冰晶石、火毒晶石、七彩晶石、天地晶石 用于打造《终极至尊》套装主要材料	1	研制	0	253	1	-1	-1
5	超级天堂套	1	10	fengren.txt	100	-1	-1	-1	-1	118	Shenqi_8	-1	#G80级角色—可进入《天上人间》地图历练——掉落：天堂晶石、天仙花、轮回令 用于打造《超级天神》套装主要材料	1	天堂	0	254	1	-1	-1
6	终极至尊套	1	10	gongyi.txt	100	-1	-1	-1	-1	118	Shenqi_3_4	-1	#G100级角色—可进入《至尊天皇》地图历练——掉落：玄冰晶石、七彩晶石、天地晶石 用于打造《终极至尊》套装主要材料	1	至尊	0	252	1	-1	-1
7	采矿	20	10	caikuang.txt	6000	10102012	-1	3	-1	142	CommonLiveSkill_3	363	闪亮的矿石在野外埋藏，用你的矿锄去挖掘吧。	-1	采矿	1	248	1	-1	-1
8	采药	15	10	caiyao.txt	6000	10102013	-1	3	-1	121	CommonLiveSkill_2	361	在野外你会发现很多药草，拿上你的采药镰去采集吧。	-1	采药	1	249	1	-1	-1
9	钓鱼	10	10	diaoyu.txt	41000	10100031	10100032	3	-1	119	CommonLiveSkill_9	362	拿上你的鱼竿到水边去吧，鱼在等你。	-1	钓鱼	0	251	0	-1	-1
10	种植	10	10	zhongzhi.txt	5000	-1	-1	3	-1	120	CommonLiveSkill_1	-1	在农田中可以播种和收获。	-1	收割	1	249	1	-1	-1
11	开光	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_1	-1	药材可以在佛印的加持下变得神奇。	1	开光	1	252	0	-1	-1
12	圣火术	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_2	-1	火丹可以将药草熔炼成更加强烈的物品。	1	圣火术	1	252	0	-1	-1
13	酿酒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_3	-1	以酒为原料，加入草药和虫子制成药酒。	1	酿酒	1	252	0	-1	-1
14	玄冰术	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_4	-1	千年的冰晶吸收药材的精华变得更加神奇。	1	玄冰术	2	252	0	-1	-1
15	制蛊	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_9	-1	给毒虫吃下药材，它们会帮你做事的。	1	制蛊	2	252	0	-1	-1
16	制毒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_5	-1	很难想象救人的药草和害人的毒虫混合在一起会造出什么东西。	1	制毒	2	252	0	-1	-1
17	制符	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_6	-1	用药汁在纸上画符，会有你意想不到的功效哦。	1	制符	2	252	0	-1	-1
18	炼丹	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_7	-1	这些丹药的作用是常规药品所难以匹敌的。	1	炼丹	1	252	0	-1	-1
19	奇门遁甲	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_8	-1	药汁画成的画，有神奇的作用。	1	奇门遁甲	1	252	0	-1	-1
20	工程学	10	99	assistant.txt	5000	-1	-1	-1	-1	118	Food_1	-1	暂无。	1	工程学	1	-1	0	-1	-1
21	驱鬼	10	200	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	暂无。	-1	驱鬼	1	-1	0	-1	-1
22	挖宝	10	100	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	古人的宝藏在哪里？挖宝技能教会你寻宝、挖宝。	-1	挖宝	1	-1	0	-1	-1
23	跑商	10	50	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	想让自己富甲天下吗？那就来做个精明的商人吧。	-1	跑商	1	-1	0	-1	-1
24	杀价	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	杀的就是价，低价买进帮你省钱。	-1	杀价	1	-1	0	-1	-1
25	热卖	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	提升物品价格，你可以多赚一点哦。	-1	热卖	1	-1	0	-1	-1
26	操作中	-1	12	assistant.txt	5000	-1	-1	2	-1	118	Food_1	-1	操作中，此技能不需要显示，为了给任务打开物品使用。	-1	操作中	1	-1	0	-1	-1
27	药理	10	99	yaoli.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_10	-1	辅助制药技能，降低制药的活力消耗。	-1	药理	0	-1	0	-1	-1
28	养生法	10	99	yangsheng.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_11	-1	辅助烹饪技能，降低烹饪的活力消耗。	-1	养生法	0	-1	0	-1	-1
29	佛法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_1	-1	辅助开光技能，降低开光的活力消耗，少林派独有的生活技能。	-1	佛法	0	-1	0	-1	-1
30	采火术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_2	-1	辅助圣火术技能，降低圣火术的活力消耗，明教独有的生活技能。	-1	采火术	0	-1	0	-1	-1
31	莲花落	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_3	-1	辅助酿酒技能，降低酿酒的活力消耗，丐帮独有的生活技能。	-1	莲花落	0	-1	0	-1	-1
32	采冰术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_4	-1	辅助玄冰术技能，降低玄冰术的活力消耗，天山派独有的生活技能。	-1	采冰术	0	-1	0	-1	-1
