INT	INT
Level	Exp
1	10
2	12
3	14
4	18
5	20
6	22
7	24
8	28
9	30
10	40
11	44
12	46
13	50
14	56
15	60
16	66
17	72
18	80
19	88
20	98
21	110
22	122
23	136
24	152
25	172
26	194
27	218
28	246
29	274
30	314
31	358
32	404
33	454
34	508
35	564
36	624
37	690
38	758
39	830
40	906
41	988
42	1076
43	1170
44	1268
45	1372
46	1482
47	1598
48	1720
49	1848
50	1982
51	2124
52	2274
53	2428
54	2592
55	2762
56	2938
57	3124
58	3316
59	3518
60	3728
61	3944
62	4170
63	4404
64	4648
65	4900
66	5172
67	5476
68	5814
69	6182
70	6588
71	7028
72	7504
73	8018
74	8572
75	9194
76	9886
77	10652
78	11492
79	12408
80	13646
81	15522
82	18368
83	22528
84	28362
85	36246
86	46568
87	59730
88	76152
89	96264
90	120514
91	149360
92	183282
93	222764
94	268314
95	320450
96	379702
97	446620
98	521764
99	605712
100	615336
101	625222
102	635374
103	645798
104	656500
105	667484
106	678756
107	690320
108	702184
109	714352
110	726830
111	739622
112	752736
113	766174
114	779944
115	794052
116	808500
117	823296
118	838446
119	853952
120	869824
121	886062
122	902676
123	919670
124	937050
125	954820
126	972986
127	991552
128	1010526
129	1029912
130	1049716
131	1069942
132	1090598
133	1111686
134	1133214
135	1155188
136	1177610
137	1200488
138	1223828
139	1247632
140	1271910
141	1296662
142	1321900
143	1347622
144	1373840
145	1448886
146	1533454
147	1628260
148	1734038
149	1851530
150	1851530
151	1851530
152	1851530
153	1851530
154	1851530
155	1851530
156	1851530
157	1851530
158	1851530
159	1851530
160	1851530
161	1851530
162	1851530
163	1851530
164	1851530
165	1851530
166	1851530
167	1851530
168	1851530
169	1851530
170	1851530
171	1851530
172	1851530
173	1851530
174	1851530
175	1851530
176	1851530
177	1851530
178	1851530
179	1851530
180	1851530
181	1851530
182	1851530
183	1851530
184	1851530
185	1851530
186	1851530
187	1851530
188	1851530
189	1851530
190	1851530
191	1851530
192	1851530
193	1851530
194	1851530
195	1851530
196	1851530
197	1851530
198	1851530
199	1851530
200	1851530
201	1851530
202	1851530
203	1851530
204	1851530
205	1851530
206	1851530
207	1851530
208	1851530
209	1851530
210	1851530
211	1851530
212	1851530
213	1851530
214	1851530
215	1851530
216	1851530
217	1851530
218	1851530
219	1851530
220	1851530
221	1851530
222	1851530
223	1851530
224	1851530
225	1851530
226	1851530
227	1851530
228	1851530
229	1851530
230	1851530
231	1851530
232	1851530
233	1851530
234	1851530
235	1851530
236	1851530
237	1851530
238	1851530
239	1851530
240	1851530
241	1851530
242	1851530
243	1851530
244	1851530
245	1851530
246	1851530
247	1851530
248	1851530
249	1851530
250	1851530
251	1851530
252	1851530
253	1851530
254	1851530
255	0
