INT	INT	INT	STRING	INT	INT	INT
Index	有效期(小时)	传输颜色	附加属性描述$1$	是否显示	元宝交易类型:0可元宝交易，1不可元宝交易，2即可元宝交易也可金币交易	卖店是否获得交子，1获得交子，0获得金币
10124009	-1	2005	-1	0	1	0
10124010	-1	2005	-1	0	1	0
10124011	-1	2005	-1	0	1	0
10124012	-1	2005	-1	0	1	0
10124013	-1	2005	-1	0	1	0
10124014	-1	2005	-1	0	1	0
10124015	-1	2005	-1	0	1	0
10124016	-1	2005	-1	0	1	0
10124017	-1	2005	-1	0	1	0
10124018	720	2005	-1	0	1	0
10124019	720	2005	-1	0	1	0
10124020	2160	2005	-1	0	1	0
10124021	2160	2005	-1	0	1	0
10124022	720	2005	-1	0	1	0
10124023	720	2005	-1	0	1	0
10124024	720	2005	-1	0	1	0
10124025	720	2005	-1	0	1	0
10124026	2160	2005	-1	0	1	0
10124027	2160	2005	-1	0	1	0
10124030	2160	2005	-1	0	1	0
10124031	2160	2005	-1	0	1	0
10124032	2160	2005	-1	0	1	0
10124033	2160	2005	-1	0	1	0
10124034	2160	2005	-1	0	1	0
10124035	-1	2005	-1	0	1	0
10124036	-1	2005	-1	0	1	0
10124039	-1	2005	-1	0	1	0
10124040	-1	2005	-1	0	1	0
10124041	-1	2005	-1	0	1	0
10124042	-1	2005	-1	0	1	0
10124043	720	2005	-1	0	1	0
10124044	720	2005	-1	0	1	0
10124045	720	2005	-1	0	1	0
10124046	720	2005	-1	0	1	0
10124047	720	2005	-1	0	1	0
10124048	720	2005	-1	0	1	0
10124049	720	2005	-1	0	1	0
10124050	720	2005	-1	0	1	0
10124051	2160	2005	-1	0	1	0
10124052	2160	2005	-1	0	1	0
10124053	2160	2005	-1	0	1	0
10124054	2160	2005	-1	0	1	0
10124055	2160	2005	-1	0	1	0
10124056	2160	2005	-1	0	1	0
10124057	2160	2005	-1	0	1	0
10124058	2160	2005	-1	0	1	0
10124059	-1	2005	-1	0	1	0
10124060	-1	2005	-1	0	1	0
10124061	-1	2005	-1	0	1	0
10124062	-1	2005	-1	0	1	0
10124063	-1	2005	-1	0	1	0
10124064	-1	2005	-1	0	1	0
10124065	-1	2005	-1	0	1	0
10124066	-1	2005	-1	0	1	0
10124067	720	2005	-1	0	1	0
10124068	2160	2005	-1	0	1	0
10124069	-1	2005	-1	0	1	0
10124070	720	2005	-1	0	1	0
10124071	720	2005	-1	0	1	0
10124072	-1	2005	-1	0	1	0
10124073	720	2005	-1	0	1	0
10124074	2160	2005	-1	0	1	0
10124075	-1	2005	-1	0	1	0
10124076	720	2005	-1	0	1	0
10124077	720	2005	-1	0	1	0
10124078	720	2005	-1	0	1	0
10124079	720	2005	-1	0	1	0
10124080	720	2005	-1	0	1	0
10124081	720	2005	-1	0	1	0
10124082	1440	2005	-1	0	1	0
10124083	720	2005	-1	0	1	0
10124084	2160	2005	-1	0	1	0
10124085	-1	2005	-1	0	1	0
10124086	4320	2005	-1	0	1	0
10124087	2160	2005	-1	0	1	0
10124088	2160	2005	-1	0	1	0
10124089	720	2005	-1	0	1	0
10124090	2160	2005	-1	0	1	0
10124091	-1	2005	-1	0	1	0
10124092	720	2005	-1	0	1	0
10124093	2160	2005	-1	0	1	0
10124094	-1	2005	-1	0	1	0
10124095	720	2005	-1	0	1	0
10124096	2160	2005	-1	0	1	0
10124097	-1	2005	-1	0	1	0
10124098	720	2005	-1	0	1	0
10124099	2160	2005	-1	0	1	0
10124100	-1	2005	-1	0	1	0
10124101	720	2005	-1	0	1	0
10124102	2160	2005	-1	0	1	0
10124103	-1	2005	-1	0	1	0
10124104	720	2005	-1	0	1	0
10124105	2160	2005	-1	0	1	0
10124106	-1	2005	-1	0	1	0
10124107	720	2005	-1	0	1	0
10124108	2160	2005	-1	0	1	0
10124109	-1	2005	-1	0	1	0
10124110	2160	2005	-1	0	1	0
10124111	168	2005	-1	0	1	0
10124112	720	2005	-1	0	1	0
10124113	-1	2005	-1	0	1	0
10124114	-1	2005	-1	0	1	0
10124115	-1	2005	-1	0	1	0
10124116	-1	2005	-1	0	1	0
10124117	-1	2005	-1	0	1	0
10124118	-1	2005	-1	0	1	0
10124119	-1	2005	-1	0	1	0
10124120	-1	2005	-1	0	1	0
10124121	-1	2005	-1	0	1	0
10124122	24	2005	-1	0	1	0
10124123	24	2005	-1	0	1	0
10124124	720	2005	-1	0	1	0
10124125	2160	2005	-1	0	1	0
10124126	-1	2005	-1	0	1	0
10124127	720	2005	-1	0	1	0
10124128	2160	2005	-1	0	1	0
10124129	-1	2005	-1	0	1	0
10124130	720	2005	-1	0	1	0
10124131	720	2005	-1	0	1	0
10124132	2160	2005	-1	0	1	0
10124133	-1	2005	-1	0	1	0
10124134	720	2005	-1	0	1	0
10124135	720	2005	-1	0	1	0
10124136	2160	2005	-1	0	1	0
10124137	-1	2005	-1	0	1	0
10124138	720	2005	-1	0	1	0
10124139	2160	2005	-1	0	1	0
10124140	-1	2005	-1	0	1	0
10124141	168	2005	-1	0	1	0
10124142	720	2005	-1	0	1	0
10124143	720	2005	-1	0	1	0
10124144	720	2005	-1	0	1	0
10124145	720	2005	-1	0	1	0
10124146	720	2005	-1	0	1	0
10124147	720	2005	-1	0	1	0
10124148	720	2005	-1	0	1	0
10124149	720	2005	-1	0	1	0
10124150	720	2005	-1	0	1	0
10124151	720	2005	-1	0	1	0
10124152	72	2005	-1	0	1	0
10124153	168	2005	-1	0	1	0
10124154	720	2005	-1	0	1	0
10124155	2160	2005	-1	0	1	0
10124156	-1	2005	-1	0	1	0
10124157	168	2005	-1	0	1	0
10124158	240	2005	-1	0	1	0
10124159	240	2005	-1	0	1	0
10124160	240	2005	-1	0	1	0
10124161	168	2005	-1	0	1	0
10124162	720	2005	-1	0	1	0
10124163	2160	2005	-1	0	1	0
10124164	-1	2005	-1	0	1	0
10124165	24	2005	-1	0	1	0
10124166	24	2005	-1	0	1	0
10124167	24	2005	-1	0	1	0
10124168	24	2005	-1	0	1	0
10124169	24	2005	-1	0	1	0
10124170	24	2005	-1	0	1	0
10124171	24	2005	-1	0	1	0
10124172	72	2005	-1	0	1	1
10124173	720	2005	-1	0	1	0
10124174	2160	2005	-1	0	1	0
10124175	-1	2005	-1	0	1	0
10124176	720	2005	-1	0	1	0
10124177	2160	2005	-1	0	1	0
10124178	-1	2005	-1	0	1	0
10124179	72	2005	-1	0	1	0
10124180	720	2005	-1	0	1	0
10124181	336	2005	-1	0	1	0
10124182	336	2005	-1	0	1	0
10124187	168	2005	-1	0	1	0
10124188	720	2005	-1	0	1	0
10124189	2160	2005	-1	0	1	0
10124190	-1	2005	-1	0	1	0
10124192	168	2005	-1	0	1	0
10124193	168	2005	-1	0	1	0
10124194	720	2005	-1	0	1	0
10124195	2160	2005	-1	0	1	0
10124196	-1	2005	-1	0	1	0
10124197	72	2005	-1	0	1	0
10124199	-1	2005	-1	0	1	0
10124200	-1	2005	-1	0	1	0
10124207	720	2005	-1	0	1	0
10124208	2160	2005	-1	0	1	0
10124209	-1	2005	-1	0	1	0
10124210	168	2005	-1	0	1	0
10124211	168	2005	-1	0	1	0
10124212	168	2005	-1	0	1	0
10124213	168	2005	-1	0	1	0
10124214	168	2005	-1	0	1	0
10124215	720	2005	-1	0	1	0
10124216	720	2005	-1	0	1	0
10124217	72	2005	-1	0	1	0
10124218	72	2005	-1	0	1	0
10124219	72	2005	-1	0	1	0
10124220	72	2005	-1	0	1	0
10124221	72	2005	-1	0	1	0
10124222	72	2005	-1	0	1	0
10124223	72	2005	-1	0	1	0
10124224	72	2005	-1	0	1	0
10124225	72	2005	-1	0	1	0
10124226	72	2005	-1	0	1	0
10124227	72	2005	-1	0	1	0
10124228	72	2005	-1	0	1	0
10124229	360	2005	-1	0	1	0
10124230	360	2005	-1	0	1	0
10124231	360	2005	-1	0	1	0
10124232	720	2005	-1	0	1	0
10124233	2160	2005	-1	0	1	0
10124234	-1	2005	-1	0	1	0
10124235	24	2005	-1	0	1	0
10124236	168	2005	-1	0	1	0
10124237	720	2005	-1	0	1	0
10124238	2160	2005	-1	0	1	0
10124239	-1	2005	-1	0	1	0
10124240	360	2005	-1	0	1	0
10124241	720	2005	-1	0	1	0
10124242	360	2005	-1	0	1	0
10124243	720	2005	-1	0	1	0
10124244	360	2005	-1	0	1	0
10124245	720	2005	-1	0	1	0
10124246	72	2005	-1	0	1	0
10124247	168	2005	-1	0	1	0
10124248	168	2005	-1	0	1	0
10124249	720	2005	-1	0	1	0
10124250	720	2005	-1	0	1	0
10124251	24	2005	-1	0	1	0
10124252	24	2005	-1	0	1	0
10124253	24	2005	-1	0	1	0
10124254	24	2005	-1	0	1	0
10124255	24	2005	-1	0	1	0
10124256	168	2005	-1	0	1	0
10124257	24	2005	-1	0	1	0
10124258	24	2005	-1	0	1	0
10124259	24	2005	-1	0	1	0
10124260	24	2005	-1	0	1	0
10124261	24	2005	-1	0	1	0
10124262	24	2005	-1	0	1	0
10124263	24	2005	-1	0	1	0
10124264	24	2005	-1	0	1	0
10124265	24	2005	-1	0	1	0
10124266	24	2005	-1	0	1	0
10124267	24	2005	-1	0	1	0
10124268	720	2005	-1	0	1	0
10124269	2160	2005	-1	0	1	0
10124270	-1	2005	-1	0	1	0
10124271	720	2005	-1	0	1	0
10124272	2160	2005	-1	0	1	0
10124273	-1	2005	-1	0	1	0
10124274	720	2005	-1	0	1	0
10124275	2160	2005	-1	0	1	0
10124276	-1	2005	-1	0	1	0
10124277	720	2005	-1	0	1	0
10124278	2160	2005	-1	0	1	0
10124279	-1	2005	-1	0	1	0
10124280	720	2005	-1	0	1	0
10124281	2160	2005	-1	0	1	0
10124282	-1	2005	-1	0	1	0
10124283	720	2005	-1	0	1	0
10124284	2160	2005	-1	0	1	0
10124285	-1	2005	-1	0	1	0
10124286	360	2005	-1	0	1	0
10124287	168	2005	-1	0	1	0
10124288	720	2005	-1	0	1	0
10124289	2160	2005	-1	0	1	0
10124290	-1	2005	-1	0	1	0
10124291	168	2005	-1	0	1	0
10124292	720	2005	-1	0	1	0
10124293	2160	2005	-1	0	1	0
10124294	-1	2005	-1	0	1	0
10124295	360	2005	-1	0	1	0
10124296	720	2005	-1	0	1	0
10124297	720	2005	-1	0	1	0
10124298	72	2005	-1	0	1	0
10124299	72	2005	-1	0	1	0
10124300	168	2005	-1	0	1	0
10124301	168	2005	-1	0	1	0
10124302	720	2005	-1	0	1	0
10124303	720	2005	-1	0	1	0
10124304	2160	2005	-1	0	1	0
10124305	-1	2005	-1	0	1	0
10124306	2160	2005	-1	0	1	0
10124307	2160	2005	-1	0	1	0
10124308	168	2005	-1	0	1	0
10124309	168	2005	-1	0	1	0
10124310	720	2005	-1	0	1	0
10124311	2160	2005	-1	0	1	0
10124312	-1	2005	-1	0	1	0
10124313	168	2005	-1	0	1	0
10124314	168	2005	-1	0	1	0
10124315	720	2005	-1	0	1	0
10124316	2160	2005	-1	0	1	0
10124317	-1	2005	-1	0	1	0
10124318	-1	2005	-1	0	1	0
10124319	720	2005	-1	0	1	0
10124320	720	2005	-1	0	1	0
10124321	720	2005	-1	0	1	0
10124322	-1	2005	-1	0	1	0
10124323	-1	2005	-1	0	1	0
10124324	-1	2005	-1	0	1	0
10124325	-1	2005	-1	0	1	0
10124326	-1	2005	-1	0	1	0
10124327	-1	2005	-1	0	1	0
10124328	-1	2005	-1	0	1	0
10124329	-1	2005	-1	0	1	0
10124330	-1	2005	-1	0	1	0
10124331	-1	2005	-1	0	1	0
