INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	装备点	强化等级	收取金钱	成功率	退化等级	外攻	内攻	外防	内防	命中	闪避
0	0	1	100	7500	0	10	10	10	10	10	10	
1	0	2	115	6000	1	15	15	15	15	15	15	
2	0	3	132	5000	1	21	21	21	21	21	21	
3	0	4	151	4500	1	30	30	30	30	30	30	
4	0	5	173	1500	1	44	44	44	44	44	44	
5	0	6	199	2000	5	70	70	70	70	70	70	
6	0	7	228	1000	5	93	93	93	93	93	93	
7	0	8	261	100	7	135	135	135	135	135	135	
8	0	9	300	50	8	195	195	195	195	195	195	
9	1	1	100	7500	0	20	20	20	20	20	20	
10	1	2	115	6000	1	30	30	30	30	30	30	
11	1	3	132	5000	1	42	42	42	42	42	42	
12	1	4	151	4500	1	60	60	60	60	60	60	
13	1	5	173	1500	1	88	88	88	88	88	88	
14	1	6	199	2000	5	140	140	140	140	140	140	
15	1	7	228	1000	5	186	186	186	186	186	186	
16	1	8	261	100	7	270	270	270	270	270	270	
17	1	9	300	50	8	390	390	390	390	390	390	
18	2	1	100	7500	0	10	10	10	10	10	10	
19	2	2	115	6000	1	15	15	15	15	15	15	
20	2	3	132	5000	1	21	21	21	21	21	21	
21	2	4	151	4500	1	30	30	30	30	30	30	
22	2	5	173	1500	1	44	44	44	44	44	44	
23	2	6	199	2000	5	70	70	70	70	70	70	
24	2	7	228	1000	5	93	93	93	93	93	93	
25	2	8	261	100	7	135	135	135	135	135	135	
26	2	9	300	50	8	195	195	195	195	195	195	
27	3	1	100	7500	0	20	20	20	20	20	20	
28	3	2	115	6000	1	30	30	30	30	30	30	
29	3	3	132	5000	1	42	42	42	42	42	42	
30	3	4	151	4500	1	60	60	60	60	60	60	
31	3	5	173	1500	1	88	88	88	88	88	88	
32	3	6	199	2000	5	140	140	140	140	140	140	
33	3	7	228	1000	5	186	186	186	186	186	186	
34	3	8	261	100	7	270	270	270	270	270	270	
35	3	9	300	50	8	390	390	390	390	390	390	
36	4	1	100	7500	0	20	20	20	20	20	20	
37	4	2	115	6000	1	30	30	30	30	30	30	
38	4	3	132	5000	1	42	42	42	42	42	42	
39	4	4	151	4500	1	60	60	60	60	60	60	
40	4	5	173	1500	1	88	88	88	88	88	88	
41	4	6	199	2000	5	140	140	140	140	140	140	
42	4	7	228	1000	5	186	186	186	186	186	186	
43	4	8	261	100	7	270	270	270	270	270	270	
44	4	9	300	50	8	390	390	390	390	390	390	
45	5	1	100	7500	0	20	20	20	20	20	20	
46	5	2	115	6000	1	30	30	30	30	30	30	
47	5	3	132	5000	1	42	42	42	42	42	42	
48	5	4	151	4500	1	60	60	60	60	60	60	
49	5	5	173	1500	1	88	88	88	88	88	88	
50	5	6	199	2000	5	140	140	140	140	140	140	
51	5	7	228	1000	5	186	186	186	186	186	186	
52	5	8	261	100	7	270	270	270	270	270	270	
53	5	9	300	50	8	390	390	390	390	390	390	
54	6	1	100	7500	0	20	20	20	20	20	20	
55	6	2	115	6000	1	30	30	30	30	30	30	
56	6	3	132	5000	1	42	42	42	42	42	42	
57	6	4	151	4500	1	60	60	60	60	60	60	
58	6	5	173	1500	1	88	88	88	88	88	88	
59	6	6	199	2000	5	140	140	140	140	140	140	
60	6	7	228	1000	5	186	186	186	186	186	186	
61	6	8	261	100	7	270	270	270	270	270	270	
62	6	9	300	50	8	390	390	390	390	390	390	
63	7	1	100	7500	0	20	20	20	20	20	20	
64	7	2	115	6000	1	30	30	30	30	30	30	
65	7	3	132	5000	1	42	42	42	42	42	42	
66	7	4	151	4500	1	60	60	60	60	60	60	
67	7	5	173	1500	1	88	88	88	88	88	88	
68	7	6	199	2000	5	140	140	140	140	140	140	
69	7	7	228	1000	5	186	186	186	186	186	186	
70	7	8	261	100	7	270	270	270	270	270	270	
71	7	9	300	50	8	390	390	390	390	390	390	
72	8	1	100	7500	0	10	10	10	10	10	10	
73	8	2	115	6000	1	15	15	15	15	15	15	
74	8	3	132	5000	1	21	21	21	21	21	21	
75	8	4	151	4500	1	30	30	30	30	30	30	
76	8	5	173	1500	1	44	44	44	44	44	44	
77	8	6	199	2000	5	70	70	70	70	70	70	
78	8	7	228	1000	5	93	93	93	93	93	93	
79	8	8	261	100	7	135	135	135	135	135	135	
80	8	9	300	50	8	195	195	195	195	195	195	
81	9	1	100	7500	0	10	10	10	10	10	10	
82	9	2	115	6000	1	15	15	15	15	15	15	
83	9	3	132	5000	1	21	21	21	21	21	21	
84	9	4	151	4500	1	30	30	30	30	30	30	
