INT	INT	INT
ID	等级	最大金钱
1	1	10000
2	2	40000
3	3	90000
4	4	160000
5	5	250000
6	6	360000
7	7	490000
8	8	640000
9	9	810000
10	10	1000000
11	11	1210000
12	12	1440000
13	13	1690000
14	14	1960000
15	15	2250000
16	16	2560000
17	17	2890000
18	18	3240000
19	19	3610000
20	20	4000000
21	21	4410000
22	22	4840000
23	23	5290000
24	24	5760000
25	25	6250000
26	26	6760000
27	27	7290000
28	28	7840000
29	29	8410000
30	30	18000000
31	31	19220000
32	32	19456000
33	33	20691000
34	34	20808000
35	35	22050000
36	36	22680000
37	37	23273000
38	38	23826000
39	39	24336000
40	40	24800000
41	41	25215000
42	42	25578000
43	43	25886000
44	44	26136000
45	45	26325000
46	46	26450000
47	47	26508000
48	48	26726400
49	49	26891200
50	50	27000000
51	51	27310500
52	52	28121600
53	53	28932700
54	54	29160000
55	55	30250000
56	56	31360000
57	57	32490000
58	58	33640000
59	59	34810000
60	60	36000000
61	61	37210000
62	62	38440000
63	63	39690000
64	64	40960000
65	65	42250000
66	66	43560000
67	67	44890000
68	68	46240000
69	69	47610000
70	70	49000000
71	71	50410000
72	72	51840000
73	73	53290000
74	74	54760000
75	75	56250000
76	76	57760000
77	77	59290000
78	78	60840000
79	79	62410000
80	80	64000000
81	81	65610000
82	82	67240000
83	83	68890000
84	84	70560000
85	85	72250000
86	86	73960000
87	87	75690000
88	88	77440000
89	89	79210000
90	90	81000000
91	91	82810000
92	92	84640000
93	93	86490000
94	94	88360000
95	95	90250000
96	96	92160000
97	97	94090000
98	98	96040000
99	99	98010000
100	100	100000000
101	101	100000000
102	102	100000000
103	103	100000000
104	104	100000000
105	105	100000000
106	106	100000000
107	107	100000000
108	108	100000000
109	109	100000000
110	110	100000000
111	111	100000000
112	112	100000000
113	113	100000000
114	114	100000000
115	115	100000000
116	116	100000000
117	117	100000000
118	118	100000000
119	119	100000000
120	120	100000000
121	121	100000000
122	122	100000000
123	123	100000000
124	124	100000000
125	125	100000000
126	126	100000000
127	127	100000000
128	128	100000000
129	129	100000000
130	130	100000000
131	131	100000000
132	132	100000000
133	133	100000000
134	134	100000000
135	135	100000000
136	136	100000000
137	137	100000000
138	138	100000000
139	139	100000000
140	140	100000000
141	141	100000000
142	142	100000000
143	143	100000000
144	144	100000000
145	145	100000000
146	146	100000000
147	147	100000000
148	148	100000000
149	149	100000000
150	150	100000000
151	151	100000000
152	152	100000000
153	153	100000000
154	154	100000000
155	155	100000000
156	156	100000000
157	157	100000000
158	158	100000000
159	159	100000000
160	160	100000000
161	161	100000000
162	162	100000000
163	163	100000000
164	164	100000000
165	165	100000000
166	166	100000000
167	167	100000000
168	168	100000000
169	169	100000000
170	170	100000000
171	171	100000000
172	172	100000000
173	173	100000000
174	174	100000000
175	175	100000000
176	176	100000000
177	177	100000000
178	178	100000000
179	179	100000000
180	180	100000000
181	181	100000000
182	182	100000000
183	183	100000000
184	184	100000000
185	185	100000000
186	186	100000000
187	187	100000000
188	188	100000000
189	189	100000000
190	190	100000000
191	191	100000000
192	192	100000000
193	193	100000000
194	194	100000000
195	195	100000000
196	196	100000000
197	197	100000000
198	198	100000000
199	199	100000000
200	200	100000000
201	201	100000000
202	202	100000000
203	203	100000000
204	204	100000000
205	205	100000000
206	206	100000000
207	207	100000000
208	208	100000000
209	209	100000000
210	210	100000000
211	211	100000000
212	212	100000000
213	213	100000000
214	214	100000000
215	215	100000000
216	216	100000000
217	217	100000000
218	218	100000000
219	219	100000000
220	220	100000000
221	221	100000000
222	222	100000000
223	223	100000000
224	224	100000000
225	225	100000000
226	226	100000000
227	227	100000000
228	228	100000000
229	229	100000000
230	230	100000000
231	231	100000000
232	232	100000000
233	233	100000000
234	234	100000000
235	235	100000000
236	236	100000000
237	237	100000000
238	238	100000000
239	239	100000000
240	240	100000000
241	241	100000000
242	242	100000000
243	243	100000000
244	244	100000000
245	245	100000000
246	246	100000000
247	247	100000000
248	248	100000000
249	249	100000000
250	250	100000000
251	251	100000000
252	252	100000000
253	253	100000000
254	254	100000000
255	255	100000000
