INT	INT
宠物携带等级	升级经验
1	5000
2	5000
3	5000
4	5000
5	5000
6	6000
7	6000
8	6000
9	6000
10	6000
11	6000
12	6000
13	6000
14	6000
15	6000
16	7000
17	7000
18	7000
19	7000
20	7000
21	7000
22	7000
23	7000
24	7000
25	7000
26	10000
27	10000
28	10000
29	10000
30	10000
31	10000
32	10000
33	10000
34	10000
35	10000
36	15000
37	15000
38	15000
39	15000
40	15000
41	15000
42	15000
43	15000
44	15000
45	15000
46	25000
47	25000
48	25000
49	25000
50	25000
51	25000
52	25000
53	25000
54	25000
55	25000
56	40000
57	40000
58	40000
59	40000
60	40000
61	40000
62	40000
63	40000
64	40000
65	40000
66	55000
67	55000
68	55000
69	55000
70	55000
71	55000
72	55000
73	55000
74	55000
75	55000
76	70000
77	70000
78	70000
79	70000
80	70000
81	70000
82	70000
83	70000
84	70000
85	70000
86	85000
87	85000
88	85000
89	85000
90	85000
91	85000
92	85000
93	85000
94	85000
95	85000
96	100000
97	100000
98	100000
99	100000
100	100000
101	100000
102	100000
103	100000
104	100000
105	100000
106	115000
107	115000
108	115000
109	115000
110	115000
111	115000
112	115000
113	115000
114	115000
115	115000
116	130000
117	130000
118	130000
119	130000
120	130000
121	130000
122	130000
123	130000
124	130000
125	130000
126	145000
127	145000
128	145000
129	145000
130	145000
131	145000
132	145000
133	145000
134	145000
135	145000
136	160000
137	160000
138	160000
139	160000
140	160000
141	160000
142	160000
143	160000
144	160000
145	160000
146	175000
147	175000
148	175000
149	175000
150	175000
151	175000
152	175000
153	175000
154	175000
155	195000
156	215000
157	235000
158	255000
159	275000
160	295000
161	315000
162	335000
163	355000
164	375000
165	395000
166	415000
167	435000
168	455000
169	475000
170	495000
171	515000
172	535000
173	555000
174	575000
175	595000
176	615000
177	635000
178	655000
179	675000
180	695000
181	715000
182	735000
183	755000
184	775000
185	795000
186	815000
187	835000
188	855000
189	875000
190	895000
191	915000
192	935000
193	955000
194	975000
195	995000
196	1015000
197	1035000
198	1055000
199	1075000
200	1095000
201	1115000
202	1135000
203	1155000
204	1175000
205	1195000
206	1215000
207	1235000
208	1255000
209	1275000
210	1295000
211	1315000
212	1335000
213	1355000
214	1375000
215	1395000
216	1415000
217	1435000
218	1455000
219	1475000
220	1495000
221	1515000
222	1535000
223	1555000
224	1575000
225	1595000
226	1615000
227	1635000
228	1655000
229	1675000
230	1695000
231	1715000
232	1735000
233	1755000
234	1775000
235	1795000
236	1815000
237	1835000
238	1855000
239	1875000
240	1895000
241	1915000
242	1935000
243	1955000
244	1975000
245	1995000
246	2015000
247	2035000
248	2055000
249	2075000
250	2095000
251	2115000
252	2135000
253	2155000
254	2175000
255	2195000


