INT	INT
宠物等级	升级经验
1	45
2	162
3	315
4	576
5	891
6	1305
7	1832
8	2484
9	2808
10	3024
11	3299
12	3616
13	3993
14	4520
15	5233
16	5994
17	6974
18	8197
19	9688
20	10195
21	12060
22	14227
23	16718
24	19555
25	22968
26	27000
27	31471
28	36403
29	41818
30	43268
31	50495
32	58288
33	66667
34	75650
35	85258
36	95508
37	100338
38	111268
39	119134
40	122958
41	134987
42	147798
43	161417
44	175867
45	191174
46	207360
47	216969
48	230347
49	239657
50	248565
51	256994
52	270270
53	289460
54	309546
55	330548
56	338386
57	360364
58	383279
59	407151
60	432000
61	438768
62	464508
63	491240
64	518982
65	535845
66	553707
67	586922
68	623700
69	664161
70	676223
71	722216
72	772065
73	825883
74	883783
75	903681
76	972720
77	1049031
78	1132830
79	1224333
80	1280551
81	1381820
82	1546723
83	1788372
84	2114046
85	2524832
86	3015266
87	3572969
88	4178295
89	4803962
90	5414696
91	5966874
92	6408158
93	6677141
94	7373277
95	8006303
96	8538818
97	8928380
98	10431234
99	12110143
100	12302596
101	12500271
102	12703273
103	12911711
104	13125693
105	13345327
106	13570722
107	13801984
108	14039222
109	14282544
110	14532058
111	14787873
112	15050095
113	15318833
114	15594195
115	15876289
116	16165224
117	16461106
118	16764044
119	17074146
120	17391520
121	17716275
122	18048517
123	18388355
124	18735897
125	19091251
126	19454526
127	19825828
128	20205266
129	20592948
130	20988982
131	21393477
132	21806539
133	22228277
134	22658799
135	23098213
136	23546628
137	24004150
138	24470888
139	24946950
140	25432444
141	25927479
142	26432161
143	26946599
144	27470901
145	28971768
146	30663090
147	32559193
148	34674696
149	37024500
150	38024500
151	39024500
152	40024500
153	41024500
154	42024500
155	43024500
156	44024500
157	45024500
158	46024500
159	47024500
160	48024500
161	49024500
162	50012131
163	51012131
164	52012131
165	53012131
166	54012131
167	55012131
168	56012131
169	58012131
170	60012131
171	61012131
172	63012131
173	64012131
174	66012131
175	67012131
176	69012131
177	70012131
178	72012131
179	75012131
180	76012131
181	78012131
182	79012131
183	80012131
184	82012131
185	83012131
186	84012131
187	85012131
188	87012131
189	89012131
190	90012131
191	91012131
192	92012131
193	95012131
194	96012131
195	98012131
196	105012131
197	108012131
198	110012131
199	113012131
200	115012131
201	118012131
202	120012131
203	123012131
204	125012131
205	128012131
206	131012131
207	134012131
208	137012131
209	140012131
210	143012131
211	146012131
212	149012131
213	151012131
214	158012131
215	165012131
216	175012131
217	180012131
218	195012131
219	211012131
220	218012131
221	225012131
222	229012131
223	232012131
224	238012131
225	243012131
226	246012131
227	250012131
228	258012131
229	260012131
230	268012131
231	270012131
232	278012131
233	280012131
234	288012131
235	290012131
236	298012131
237	300012131
238	310012131
239	318012131
240	328012131
241	338012131
242	348012131
243	350012131
244	358012131
245	360012131
246	368012131
247	370012131
248	378012131
249	380012131
250	388012131
251	390012131
252	398012131
253	399012131
254	460012131
255	500012131
