INT	INT	INT
需要合成的灵兽丹ID	合成后的灵兽丹ID（暂不开放的填 -1）	需要消耗的金钱
30503025	30503026	4000
30503026	30503027	5000
30503027	30503028	6000
30503028	30503029	7000
30503029	30503030	8000
30503030	30503031	9000
30503031	30503032	10000
30503032	30503033	11000
30503033	-1	12000
30503034	30503035	4000
30503035	30503036	5000
30503036	30503037	6000
30503037	30503038	7000
30503038	30503039	8000
30503039	30503040	9000
30503040	30503041	10000
30503041	30503042	11000
30503042	-1	12000
30503043	30503044	4000
30503044	30503045	5000
30503045	30503046	6000
30503046	30503047	7000
30503047	30503048	8000
30503048	30503049	9000
30503049	30503050	10000
30503050	30503051	11000
30503051	-1	12000
30503052	30503053	4000
30503053	30503054	5000
30503054	30503055	6000
30503055	30503056	7000
30503056	30503057	8000
30503057	30503058	9000
30503058	30503059	10000
30503059	30503060	11000
30503060	-1	12000
30503061	30503062	4000
30503062	30503063	5000
30503063	30503064	6000
30503064	30503065	7000
30503065	30503066	8000
30503066	30503067	9000
30503067	30503068	10000
30503068	30503069	11000
30503069	-1	12000
30503070	30503071	4000
30503071	30503072	5000
30503072	30503073	6000
30503073	30503074	7000
30503074	30503075	8000
30503075	30503076	9000
30503076	30503077	10000
30503077	30503078	11000
30503078	-1	12000
30503079	30503080	4000
30503080	30503081	5000
30503081	30503082	6000
30503082	30503083	7000
30503083	30503084	8000
30503084	30503085	9000
30503085	30503086	10000
30503086	30503087	11000
30503087	-1	12000
30503088	30503089	4000
30503089	30503090	5000
30503090	30503091	6000
30503091	30503092	7000
30503092	30503093	8000
30503093	30503094	9000
30503094	30503095	10000
30503095	30503096	11000
30503096	-1	12000
30503097	30503098	4000
30503098	30503099	5000
30503099	30503100	6000
30503100	30503101	7000
30503101	30503102	8000
30503102	30503103	9000
30503103	30503104	10000
30503104	30503105	11000
30503105	-1	12000
30503106	30503107	4000
30503107	30503108	5000
30503108	30503109	6000
30503109	30503110	7000
30503110	30503111	8000
30503111	30503112	9000
30503112	30503113	10000
30503113	30503114	11000
30503114	-1	12000
30503176	30503177	4000
30503177	30503178	5000
30503178	30503179	6000
30503179	30503180	7000
30503180	30503181	8000
30503181	-1	9000
