INT	INT	INT	INT	INT
需要升级的珍兽技能ID	升级后的珍兽技能ID	需要消耗的物品ID	需要消耗的金钱	是否广播
656	1197	30503043	20000	0
657	1206	30503043	20000	0
658	1215	30503043	20000	0
659	1224	30503043	20000	0
660	1233	30503043	20000	0
661	1242	30503043	20000	0
663	1116	30503052	20000	0
665	1125	30503052	20000	0
667	1134	30503052	20000	0
669	1143	30503052	20000	0
671	1152	30503052	20000	0
672	1652	30503079	20000	0
673	1661	30503079	20000	0
674	1670	30503079	20000	0
675	1679	30503079	20000	0
702	1269	30503034	20000	0
703	1278	30503034	20000	0
704	1296	30503034	20000	0
705	1287	30503034	20000	0
707	1908	30503070	20000	0
709	1918	30503070	20000	0
711	1928	30503070	20000	0
713	1938	30503070	20000	0
723	1260	30503034	20000	0
729	1251	30503034	20000	0
752	1161	30503061	20000	0
753	1170	30503061	20000	0
754	1179	30503061	20000	0
755	1188	30503061	20000	0
1116	1117	30503053	40000	0
1117	1118	30503054	60000	1
1118	1119	30503055	100000	1
1119	1120	30503056	150000	1
1120	1121	30503057	250000	1
1121	1122	30503058	400000	1
1122	1123	30503059	700000	1
1123	1124	30503060	990000	1
1125	1126	30503053	40000	0
1126	1127	30503054	60000	1
1127	1128	30503055	100000	1
1128	1129	30503056	150000	1
1129	1130	30503057	250000	1
1130	1131	30503058	400000	1
1131	1132	30503059	700000	1
1132	1133	30503060	990000	1
1134	1135	30503053	40000	0
1135	1136	30503054	60000	1
1136	1137	30503055	100000	1
1137	1138	30503056	150000	1
1138	1139	30503057	250000	1
1139	1140	30503058	400000	1
1140	1141	30503059	700000	1
1141	1142	30503060	990000	1
1143	1144	30503053	40000	0
1144	1145	30503054	60000	1
1145	1146	30503055	100000	1
1146	1147	30503056	150000	1
1147	1148	30503057	250000	1
1148	1149	30503058	400000	1
1149	1150	30503059	700000	1
1150	1151	30503060	990000	1
1152	1153	30503053	40000	0
1153	1154	30503054	60000	1
1154	1155	30503055	100000	1
1155	1156	30503056	150000	1
1156	1157	30503057	250000	1
1157	1158	30503058	400000	1
1158	1159	30503059	700000	1
1159	1160	30503060	990000	1
1161	1162	30503062	40000	0
1162	1163	30503063	60000	1
1163	1164	30503064	100000	1
1164	1165	30503065	150000	1
1165	1166	30503066	250000	1
1166	1167	30503067	400000	1
1167	1168	30503068	700000	1
1168	1169	30503069	990000	1
1170	1171	30503062	40000	0
1171	1172	30503063	60000	1
1172	1173	30503064	100000	1
1173	1174	30503065	150000	1
1174	1175	30503066	250000	1
1175	1176	30503067	400000	1
1176	1177	30503068	700000	1
1177	1178	30503069	990000	1
1179	1180	30503062	40000	0
1180	1181	30503063	60000	1
1181	1182	30503064	100000	1
1182	1183	30503065	150000	1
1183	1184	30503066	250000	1
1184	1185	30503067	400000	1
1185	1186	30503068	700000	1
1186	1187	30503069	990000	1
1188	1189	30503062	40000	0
1189	1190	30503063	60000	1
1190	1191	30503064	100000	1
1191	1192	30503065	150000	1
1192	1193	30503066	250000	1
1193	1194	30503067	400000	1
1194	1195	30503068	700000	1
1195	1196	30503069	990000	1
1197	1198	30503044	40000	0
1198	1199	30503045	60000	1
1199	1200	30503046	100000	1
1200	1201	30503047	150000	1
1201	1202	30503048	250000	1
1202	1203	30503049	400000	1
1203	1204	30503050	700000	1
1204	1205	30503051	990000	1
1206	1207	30503044	40000	0
1207	1208	30503045	60000	1
1208	1209	30503046	100000	1
1209	1210	30503047	150000	1
1210	1211	30503048	250000	1
1211	1212	30503049	400000	1
1212	1213	30503050	700000	1
1213	1214	30503051	990000	1
1215	1216	30503044	40000	0
1216	1217	30503045	60000	1
1217	1218	30503046	100000	1
1218	1219	30503047	150000	1
1219	1220	30503048	250000	1
1220	1221	30503049	400000	1
1221	1222	30503050	700000	1
1222	1223	30503051	990000	1
1224	1225	30503044	40000	0
1225	1226	30503045	60000	1
1226	1227	30503046	100000	1
1227	1228	30503047	150000	1
1228	1229	30503048	250000	1
1229	1230	30503049	400000	1
1230	1231	30503050	700000	1
1231	1232	30503051	990000	1
1233	1234	30503044	40000	0
1234	1235	30503045	60000	1
1235	1236	30503046	100000	1
1236	1237	30503047	150000	1
1237	1238	30503048	250000	1
1238	1239	30503049	400000	1
1239	1240	30503050	700000	1
1240	1241	30503051	990000	1
1242	1243	30503044	40000	0
1243	1244	30503045	60000	1
1244	1245	30503046	100000	1
1245	1246	30503047	150000	1
1246	1247	30503048	250000	1
1247	1248	30503049	400000	1
1248	1249	30503050	700000	1
1249	1250	30503051	990000	1
1251	1252	30503035	40000	0
1252	1253	30503036	60000	1
1253	1254	30503037	100000	1
1254	1255	30503038	150000	1
1255	1256	30503039	250000	1
1256	1257	30503040	400000	1
1257	1258	30503041	700000	1
1258	1259	30503042	990000	1
1260	1261	30503035	40000	0
1261	1262	30503036	60000	1
1262	1263	30503037	100000	1
1263	1264	30503038	150000	1
1264	1265	30503039	250000	1
1265	1266	30503040	400000	1
1266	1267	30503041	700000	1
1267	1268	30503042	990000	1
1269	1270	30503035	40000	0
1270	1271	30503036	60000	1
1271	1272	30503037	100000	1
1272	1273	30503038	150000	1
1273	1274	30503039	250000	1
1274	1275	30503040	400000	1
1275	1276	30503041	700000	1
1276	1277	30503042	990000	1
1278	1279	30503035	40000	0
1279	1280	30503036	60000	1
1280	1281	30503037	100000	1
1281	1282	30503038	150000	1
1282	1283	30503039	250000	1
1283	1284	30503040	400000	1
1284	1285	30503041	700000	1
1285	1286	30503042	990000	1
1287	1288	30503035	40000	0
1288	1289	30503036	60000	1
1289	1290	30503037	100000	1
1290	1291	30503038	150000	1
1291	1292	30503039	250000	1
1292	1293	30503040	400000	1
1293	1294	30503041	700000	1
1294	1295	30503042	990000	1
1296	1297	30503035	40000	0
1297	1298	30503036	60000	1
1298	1299	30503037	100000	1
1299	1300	30503038	150000	1
1300	1301	30503039	250000	1
1301	1302	30503040	400000	1
1302	1303	30503041	700000	1
1303	1304	30503042	990000	1
1652	1653	30503080	40000	0
1653	1654	30503081	60000	1
1654	1655	30503082	100000	1
1655	1656	30503083	150000	1
1656	1657	30503084	250000	1
1657	1658	30503085	400000	1
1658	1659	30503086	700000	1
1659	1660	30503087	990000	1
1661	1662	30503080	40000	0
1662	1663	30503081	60000	1
1663	1664	30503082	100000	1
1664	1665	30503083	150000	1
1665	1666	30503084	250000	1
1666	1667	30503085	400000	1
1667	1668	30503086	700000	1
1668	1669	30503087	990000	1
1670	1671	30503080	40000	0
1671	1672	30503081	60000	1
1672	1673	30503082	100000	1
1673	1674	30503083	150000	1
1674	1675	30503084	250000	1
1675	1676	30503085	400000	1
1676	1677	30503086	700000	1
1677	1678	30503087	990000	1
1679	1680	30503080	40000	0
1680	1681	30503081	60000	1
1681	1682	30503082	100000	1
1682	1683	30503083	150000	1
1683	1684	30503084	250000	1
1684	1685	30503085	400000	1
1685	1686	30503086	700000	1
1686	1687	30503087	990000	1
1702	1703	30503176	20000	0
1703	1704	30503177	40000	0
1704	1705	30503178	60000	1
1705	1706	30503179	100000	1
1706	1707	30503180	150000	1
1707	1708	30503181	250000	1
1710	1711	30503176	20000	0
1711	1712	30503177	40000	0
1712	1713	30503178	60000	1
1713	1714	30503179	100000	1
1714	1715	30503180	150000	1
1715	1716	30503181	250000	1
1718	1719	30503176	20000	0
1719	1720	30503177	40000	0
1720	1721	30503178	60000	1
1721	1722	30503179	100000	1
1722	1723	30503180	150000	1
1723	1724	30503181	250000	1
1726	1727	30503176	20000	0
1727	1728	30503177	40000	0
1728	1729	30503178	60000	1
1729	1730	30503179	100000	1
1730	1731	30503180	150000	1
1731	1732	30503181	250000	1
1734	1735	30503176	20000	0
1735	1736	30503177	40000	0
1736	1737	30503178	60000	1
1737	1738	30503179	100000	1
1738	1739	30503180	150000	1
1739	1740	30503181	250000	1
1751	1752	30503176	20000	0
1752	1753	30503177	40000	0
1753	1754	30503178	60000	1
1754	1755	30503179	100000	1
1755	1756	30503180	150000	1
1756	1757	30503181	250000	1
1759	1760	30503176	20000	0
1760	1761	30503177	40000	0
1761	1762	30503178	60000	1
1762	1763	30503179	100000	1
1763	1764	30503180	150000	1
1764	1765	30503181	250000	1
1908	1909	30503071	40000	0
1909	1910	30503072	60000	1
1910	1911	30503073	100000	1
1911	1912	30503074	150000	1
1912	1913	30503075	250000	1
1913	1914	30503076	400000	1
1914	1915	30503077	700000	1
1915	1916	30503078	990000	1
1918	1919	30503071	40000	0
1919	1920	30503072	60000	1
1920	1921	30503073	100000	1
1921	1922	30503074	150000	1
1922	1923	30503075	250000	1
1923	1924	30503076	400000	1
1924	1925	30503077	700000	1
1925	1926	30503078	990000	1
1928	1929	30503071	40000	0
1929	1930	30503072	60000	1
1930	1931	30503073	100000	1
1931	1932	30503074	150000	1
1932	1933	30503075	250000	1
1933	1934	30503076	400000	1
1934	1935	30503077	700000	1
1935	1936	30503078	990000	1
1938	1939	30503071	40000	0
1939	1940	30503072	60000	1
1940	1941	30503073	100000	1
1941	1942	30503074	150000	1
1942	1943	30503075	250000	1
1943	1944	30503076	400000	1
1944	1945	30503077	700000	1
1945	1946	30503078	990000	1
1951	1952	30503088	20000	0
1952	1953	30503089	40000	0
1953	1954	30503090	60000	1
1954	1955	30503091	100000	1
1955	1956	30503092	150000	1
1956	1957	30503093	250000	1
1957	1958	30503094	400000	1
1958	1959	30503095	700000	1
1959	1960	30503096	990000	1
1962	1963	30503088	20000	0
1963	1964	30503089	40000	0
1964	1965	30503090	60000	1
1965	1966	30503091	100000	1
1966	1967	30503092	150000	1
1967	1968	30503093	250000	1
1968	1969	30503094	400000	1
1969	1970	30503095	700000	1
1970	1971	30503096	990000	1
1973	1974	30503088	20000	0
1974	1975	30503089	40000	0
1975	1976	30503090	60000	1
1976	1977	30503091	100000	1
1977	1978	30503092	150000	1
1978	1979	30503093	250000	1
1979	1980	30503094	400000	1
1980	1981	30503095	700000	1
1981	1982	30503096	990000	1
1984	1985	30503088	20000	0
1985	1986	30503089	40000	0
1986	1987	30503090	60000	1
1987	1988	30503091	100000	1
1988	1989	30503092	150000	1
1989	1990	30503093	250000	1
1990	1991	30503094	400000	1
1991	1992	30503095	700000	1
1992	1993	30503096	990000	1
1995	1996	30503088	20000	0
1996	1997	30503089	40000	0
1997	1998	30503090	60000	1
1998	1999	30503091	100000	1
1999	2000	30503092	150000	1
2000	2001	30503093	250000	1
2001	2002	30503094	400000	1
2002	2003	30503095	700000	1
2003	2004	30503096	990000	1
2006	2007	30503088	20000	0
2007	2008	30503089	40000	0
2008	2009	30503090	60000	1
2009	2010	30503091	100000	1
2010	2011	30503092	150000	1
2011	2012	30503093	250000	1
2012	2013	30503094	400000	1
2013	2014	30503095	700000	1
2014	2015	30503096	990000	1
