INT	INT	STRING
宠物类型	显示名称文本	名称$1$
298	1	飘飘鸭	
299	1	飘飘兔	
300	5	兔子	
301	5	燕子	
302	5	乌龟	
303	15	狗	
304	15	刺猬	
305	15	猴子	
306	25	松鼠	
307	25	浣熊	
308	25	鹦鹉	
309	35	蜥蜴	
310	35	蝙蝠	
311	35	大螳螂	
312	35	鳄鱼	
313	45	猫头鹰	
314	45	獾	
315	45	老虎	
316	45	野猪	
317	55	冰蚕	
318	55	鹰	
319	55	鸵鸟	
320	55	豹子	
321	65	北极熊	
322	65	孔雀	
323	65	剑齿虎	
324	65	大猩猩	
325	75	犀牛	
326	75	雪貂	
327	75	剑龙	
328	75	駮马	
329	85	雏凤	
330	85	年兽	
331	85	龙龟	
332	85	英招	
333	95	麒麟	
334	95	蛟龙	
335	20	柴猫	
336	20	鸡	
337	20	鸭子	
338	5	技嘉羊	
339	20	毛驴	
340	20	鹅	
341	20	霸王龙	
342	5	企鹅	
343	75	袋鼠	
344	20	鸭嘴兽	
345	5	猪	
346	5	青蛙	
347	75	小象	
348	5	雪狐	
349	25	狼	
600	65	龙	
601	5	龙猫	
602	45	强龙猫	
603	55	珍龙猫	
604	65	超龙猫	
605	75	神龙猫	
606	5	墨镜猫	
607	45	流行猫	
608	55	时尚猫	
609	65	偶像猫	
610	75	冠军猫	
611	5	犀鸟	
612	45	灵犀鸟	
613	55	珍犀鸟	
614	65	超犀鸟	
615	75	神犀鸟	
616	5	熊猫	
617	45	强熊猫	
618	55	珍熊猫	
619	65	超熊猫	
620	75	神熊猫	
621	5	螃蟹	
622	45	青蟹	
623	55	大闸蟹	
624	65	潮行蟹	
625	75	绒螯蟹	
626	5	粉蝶	
627	45	斑蝶	
628	55	绢蝶	
629	65	环蝶	
630	75	凤尾蝶	
631	5	蜗牛	
632	45	壮蜗牛	
633	55	珍蜗牛	
634	65	超蜗牛	
635	75	神蜗牛	
636	5	毒蝎	
637	45	灵蝎	
638	55	珍蝎	
639	65	天蝎	
640	75	魔蝎	
641	5	小貘	
642	45	壮貘	
643	55	珍貘	
644	65	圣貘	
645	75	神貘	
646	5	甲虫	
647	45	强甲虫	
648	55	珍甲虫	
649	65	圣甲虫	
650	75	神甲虫	
651	5	当扈	
652	45	灵当扈	
653	55	珍当扈	
654	65	圣当扈	
655	75	神当扈	
656	65	神企鹅	
657	45	乖企鹅	
658	55	灵企鹅	
659	65	圣企鹅	
