INT	INT
Level	Exp
1	9
2	32
3	63
4	115
5	162
6	180
7	198
8	216
9	234
10	630
11	702
12	1777
13	1887
14	11004
15	11162
16	11332
17	11549
18	11821
19	12152
20	12548
21	13015
22	13556
23	14179
24	14888
25	15742
26	16750
27	17867
28	19100
29	110454
30	112362
31	114427
32	116653
33	119047
34	121614
35	124359
36	127288
37	130405
38	133717
39	137229
40	140986
41	144995
42	149266
43	153805
44	158622
45	163724
46	169120
47	174817
48	180823
49	187147
50	193798
51	1100782
52	1108108
53	1115784
54	1123818
55	1132219
56	1140994
57	1150151
58	1159699
59	1169646
60	1180000
61	1190768
62	1201960
63	1213582
64	1225644
65	1238153
66	1251685
67	1266782
68	1283500
69	1301891
70	1322011
71	1343912
72	1367650
73	1393277
74	1420849
75	1451840
76	1486360
77	1524515
78	1566415
79	1612166
80	1673974
81	1767677
82	1909837
83	11117732
84	11409364
85	11803451
86	12319435
87	12977474
88	13798450
89	14803961
90	16016329
91	17458592
92	19154512
93	111128567
94	113405959
95	116012606
96	118975150
97	122320949
98	126078085
99	130275356
100	130756492
101	131250677
102	131758183
103	322792785
104	328142340
105	333633195
106	339268050
107	345049605
108	350980560
109	357063615
110	363301470
111	369696825
112	376252380
113	382970835
114	389854890
115	396907245
116	404130600
117	411527655
118	419101110
119	426853665
120	434788020
121	442906875
122	451212930
123	459708885
124	468397440
125	477281295
126	486363150
127	495645705
128	505131660
129	514823715
130	524724570
131	524724570
132	524724570
133	524724570
134	524724570
135	524724570
136	524724570
137	524724570
138	524724570
139	524724570
140	524724570
141	524724570
142	524724570
143	524724570
144	524724570
145	524724570
146	524724570
147	524724570
148	524724570
149	524724570
150	524724570
151	524724570
152	524724570
153	524724570
154	524724570
155	524724570
156	524724570
157	524724570
158	524724570
159	524724570
160	524724570
161	524724570
162	524724570
163	524724570
164	524724570
165	524724570
166	524724570
167	524724570
168	524724570
169	524724570
170	524724570
171	524724570
172	524724570
173	524724570
174	524724570
175	524724570
176	524724570
177	524724570
178	524724570
179	524724570
180	524724570
181	524724570
182	524724570
183	524724570
184	524724570
185	524724570
186	524724570
187	524724570
188	524724570
189	524724570
190	524724570
191	524724570
192	524724570
193	524724570
194	524724570
195	524724570
196	524724570
197	524724570
198	524724570
199	524724570
200	524724570
201	524724570
202	524724570
203	524724570
204	524724570
205	524724570
206	524724570
207	524724570
208	524724570
209	524724570
210	524724570
211	524724570
212	524724570
213	524724570
214	524724570
215	524724570
216	524724570
217	524724570
218	524724570
219	524724570
220	524724570
221	524724570
222	524724570
223	524724570
224	524724570
225	524724570
226	524724570
227	524724570
228	524724570
229	524724570
230	524724570
231	524724570
232	524724570
233	524724570
234	524724570
235	524724570
236	524724570
237	524724570
238	524724570
239	524724570
240	524724570
241	524724570
242	524724570
243	524724570
244	524724570
245	524724570
246	524724570
247	524724570
248	524724570
249	524724570
250	524724570
251	524724570
252	524724570
253	524724570
254	524724570
255	0
