INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
心法ID	门派ID	心法名称$1$	心法描述$1$	心法图标	心法影响属性逻辑	心法修正率(废)	是否直接学会	升级人物等级限制	心法等级段1	心法修正率1	心法等级段2	心法修正率2	心法等级段3	心法修正率3	心法等级段4	心法修正率4	心法等级段5	心法修正率5	心法等级段6	心法修正率6	心法等级段7	心法修正率7	心法等级段8	心法修正率8	心法等级段9	心法修正率9	心法等级段10	心法修正率10
1	0	金刚经	全名金刚般若波罗蜜经，记载佛陀舍卫国说法之故事，其中蕴有金刚降魔之力。修习之后可以提升少林弟子的命中率。#r#c54FF00学习等级10	XinFa1_1	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
2	0	法华经	全名妙法莲华经，记载诸佛如来秘密之藏，其玄妙莫可名状。修习之后可以提升少林弟子的闪避率。#r#c54FF00学习等级20	XinFa1_2	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
3	0	大光明经	天竺镇国三经之一，记载西天四方四佛悲天悯人的深奥佛法。修习之后可以提升少林弟子的生命力。#r#c54FF00学习等级20	XinFa1_3	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
4	0	达摩心经	禅宗始祖菩提达摩秘传心经，记载佛门内敛顿悟之理。修习之后可以提升少林弟子的外功防御力。#r#c54FF00学习等级10	XinFa1_4	4	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
5	0	龙树心经	大乘宗师龙树菩萨秘传心经，记载佛门厚积薄发之理。修习之后可以提升少林弟子的外功攻击力。#r#c54FF00学习等级10	XinFa1_5	2	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
6	0	释迦经	记载佛陀生平言行的经典，由大弟子迦叶秘传后世，为佛家至高经典。修习之后可以提升少林弟子的气上限。#r#c54FF00学习等级20	XinFa1_6	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
7	1	七丧拳	本是崆峒派镇派之宝，被上代护教法王夺至明教，功夫霸道，无坚不摧。修习之后可以提升明教弟子的命中率。#r#c54FF00学习等级10	XinFa1_7	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
8	1	葵花秘笈	前辈大内高手所撰，数十年来一直为明教镇教之宝。修习之后可以提升明教弟子的闪避率。#r#c54FF00学习等级20	XinFa1_8	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
9	1	天地挪移法	波斯明教总教镇教之宝，可以激发常人体内潜藏的力量。修习之后可以提升明教弟子的生命力。#r#c54FF00学习等级20	XinFa1_9	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
10	1	激流大法	明教秘传的逆七十二周天炼气心法，血如寒冰，气似激流。修习之后可以提升明教弟子的外功防御力。#r#c54FF00学习等级10	XinFa1_10	4	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
