INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
品质分布编号	total	段1几率	段2几率	段3几率	段4几率	段5几率	段6几率	段7几率	段8几率	段9几率
1	1000	1000	0	0	0	0	0	0	0	0
2	1000	0	1000	0	0	0	0	0	0	0
3	1000	0	0	1000	0	0	0	0	0	0
4	1000	0	0	0	1000	0	0	0	0	0
5	1000	0	0	0	0	1000	0	0	0	0
6	1000	0	0	0	0	0	1000	0	0	0
7	1000	0	0	0	0	0	0	1000	0	0
8	1000	0	0	0	0	0	0	0	1000	0
9	1000	0	0	0	0	0	0	0	0	1000
10	10000	0	0	0	0	2000	2300	2200	2500	1000
11	10000	0	0	0	0	2000	2300	2200	2500	1000
12	10000	0	0	0	0	2000	2300	2200	2500	1000
13	10000	0	0	0	0	2000	2300	2200	2500	1000
14	10000	0	0	0	0	2000	2300	2200	2500	1000
15	10000	0	0	0	0	2000	2300	2200	2500	1000
16	10000	0	0	0	0	2000	2300	2200	2500	1000
17	10000	0	0	0	0	2000	2300	2200	2500	1000
18	10000	0	0	0	0	2000	2300	2200	2500	1000
19	10000	0	0	0	0	2000	2300	2200	2500	1000
20	10000	0	0	0	0	2000	2300	2200	2500	1000
21	10000	0	0	0	0	2000	2300	2200	2500	1000
22	10000	0	0	0	0	2000	2300	2200	2500	1000
23	10000	0	0	0	0	2000	2300	2200	2500	1000
24	10000	0	0	0	0	2000	2300	2200	2500	1000
25	10000	0	0	0	0	2000	2300	2200	2500	1000
26	10000	0	0	0	0	2000	2300	2200	2500	1000
27	10000	0	0	0	0	2000	2300	2200	2500	1000
28	10000	0	0	0	0	2000	2300	2200	2500	1000
29	10000	0	0	0	0	2000	2300	2200	2500	1000
30	10000	0	0	0	0	2000	2300	2200	2500	1000
31	10000	0	0	0	0	2000	2300	2200	2500	1000
32	10000	0	0	0	0	2000	2300	2200	2500	1000
33	10000	0	0	0	0	2000	2300	2200	2500	1000
34	10000	0	0	0	0	2000	2300	2200	2500	1000
35	10000	0	0	0	0	2000	2300	2200	2500	1000
36	10000	0	0	0	0	2000	2300	2200	2500	1000
37	10000	0	0	0	0	2000	2300	2200	2500	1000
38	10000	0	0	0	0	2000	2300	2200	2500	1000
39	10000	0	0	0	0	2000	2300	2200	2500	1000
40	10000	0	0	0	0	2000	2300	2200	2500	1000
41	10000	0	0	0	0	2000	2300	2200	2500	1000
42	10000	0	0	0	0	2000	2300	2200	2500	1000
43	10000	0	0	0	0	2000	2300	2200	2500	1000
44	10000	0	0	0	0	2000	2300	2200	2500	1000
45	10000	0	0	0	0	2000	2300	2200	2500	1000
46	10000	0	0	0	0	2000	2300	2200	2500	1000
47	10000	0	0	0	0	2000	2300	2200	2500	1000
48	10000	0	0	0	0	2000	2300	2200	2500	1000
49	10000	0	0	0	0	2000	2300	2200	2500	1000
50	10000	0	0	0	0	2000	2300	2200	2500	1000
51	10000	0	0	0	0	2000	2300	2200	2500	1000
52	10000	0	0	0	0	2000	2300	2200	2500	1000
53	10000	0	0	0	0	2000	2300	2200	2500	1000
54	10000	0	0	0	0	2000	2300	2200	2500	1000
55	10000	0	0	0	0	2000	2300	2200	2500	1000
56	10000	0	0	0	0	2000	2300	2200	2500	1000
57	10000	0	0	0	0	2000	2300	2200	2500	1000
58	10000	0	0	0	0	2000	2300	2200	2500	1000
59	10000	0	0	0	0	2000	2300	2200	2500	1000
60	10000	0	0	0	0	2000	2300	2200	2500	1000
61	10000	0	0	0	0	2000	2300	2200	2500	1000
62	10000	0	0	0	0	2000	2300	2200	2500	1000
63	10000	0	0	0	0	2000	2300	2200	2500	1000
64	10000	0	0	0	0	2000	2300	2200	2500	1000
65	10000	0	0	0	0	2000	2300	2200	2500	1000
66	10000	0	0	0	0	2000	2300	2200	2500	1000
67	10000	0	0	0	0	2000	2300	2200	2500	1000
68	10000	0	0	0	0	2000	2300	2200	2500	1000
69	10000	0	0	0	0	2000	2300	2200	2500	1000
70	10000	0	0	0	0	2000	2300	2200	2500	1000
71	10000	0	0	0	0	2000	2300	2200	2500	1000
72	10000	0	0	0	0	2000	2300	2200	2500	1000
73	10000	0	0	0	0	2000	2300	2200	2500	1000
74	10000	0	0	0	0	2000	2300	2200	2500	1000
75	10000	0	0	0	0	2000	2300	2200	2500	1000
76	10000	0	0	0	0	2000	2300	2200	2500	1000
77	10000	0	0	0	0	2000	2300	2200	2500	1000
78	10000	0	0	0	0	2000	2300	2200	2500	1000
79	10000	0	0	0	0	2000	2300	2200	2500	1000
80	10000	0	0	0	0	2000	2300	2200	2500	1000
81	10000	0	0	0	0	2000	2300	2200	2500	1000
82	10000	0	0	0	0	2000	2300	2200	2500	1000
83	10000	0	0	0	0	2000	2300	2200	2500	1000
84	10000	0	0	0	0	2000	2300	2200	2500	1000
85	10000	0	0	0	0	2000	2300	2200	2500	1000
86	10000	0	0	0	0	2000	2300	2200	2500	1000
87	10000	0	0	0	0	2000	2300	2200	2500	1000
88	10000	0	0	0	0	2000	2300	2200	2500	1000
89	10000	0	0	0	0	2000	2300	2200	2500	1000
90	10000	0	0	0	0	2000	2300	2200	2500	1000
