INT	INT
宠物等级	快乐度损失
1	5
2	5
3	5
4	5
5	5
6	5
7	5
8	5
9	5
10	5
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	10
28	10
29	10
30	10
31	15
32	15
33	15
34	15
35	15
36	15
37	15
38	15
39	15
40	15
41	15
42	15
43	15
44	15
45	15
46	15
47	15
48	15
49	15
50	15
51	15
52	15
53	15
54	15
55	15
56	15
57	15
58	15
59	15
60	15
61	20
62	20
63	20
64	20
65	20
66	20
67	20
68	20
69	20
70	20
71	20
72	20
73	20
74	20
75	20
76	20
77	20
78	20
79	20
80	20
81	25
82	25
83	25
84	25
85	25
86	25
87	25
88	25
89	25
90	25
91	25
92	25
93	25
94	25
95	25
96	25
97	25
98	25
99	25
100	30
101	30
102	30
103	30
104	30
105	30
106	30
107	30
108	30
109	30
110	30
111	30
112	30
113	30
114	30
115	30
116	30
117	30
118	30
119	30
120	30
121	30
122	30
123	30
124	30
125	30
126	30
127	30
128	30
129	30
130	30
131	30
132	30
133	30
134	30
135	30
136	30
137	30
138	30
139	30
140	30
141	30
142	30
143	30
144	30
145	30
146	30
147	30
148	30
149	30
150	30
151	30
152	30
153	30
154	30
155	30
156	30
157	30
158	30
159	30
160	30
161	30
162	30
163	30
164	30
165	30
166	30
167	30
168	30
169	30
170	30
171	30
172	30
173	30
174	30
175	30
176	30
177	30
178	30
179	30
180	30
181	30
182	30
183	30
184	30
185	30
186	30
187	30
188	30
189	30
190	30
191	30
192	30
193	30
194	30
195	30
196	30
197	30
198	30
199	30
200	30
201	30
202	30
203	30
204	30
205	30
206	30
207	30
208	30
209	30
210	30
211	30
212	30
213	30
214	30
215	30
216	30
217	30
218	30
219	30
220	30
221	30
222	30
223	30
224	30
225	30
226	30
227	30
228	30
229	30
230	30
231	30
232	30
233	30
234	30
235	30
236	30
237	30
238	30
239	30
240	30
241	30
242	30
243	30
244	30
245	30
246	30
247	30
248	30
249	30
250	30
251	30
252	30
253	30
254	30
255	30
