INT	INT	INT
等级	金钱获得	经验获得
10	300	532
11	333	560
12	366	587
13	399	614
14	432	642
15	465	669
16	498	696
17	531	724
18	564	751
19	597	779
20	630	834
21	663	868
22	696	903
23	729	938
24	762	973
25	795	1007
26	828	1042
27	861	1077
28	894	1112
29	927	1146
30	960	1181
31	993	1216
32	1026	1251
33	1059	1285
34	1092	1320
35	1125	1355
36	1158	1390
37	1191	1424
38	1224	1459
39	1257	1494
40	1290	2230
41	1323	2281
42	1356	2331
43	1389	2382
44	1422	2433
45	1455	2483
46	1488	2534
47	1521	2585
48	1554	2635
49	1587	2686
50	1620	2737
51	1653	2787
52	1686	2838
53	1719	2889
54	1752	2940
55	1785	2990
56	1818	3041
57	1851	3092
58	1884	3142
59	1917	3193
60	1950	3244
61	1983	3294
62	2016	3345
63	2049	3396
64	2082	3446
65	2115	3497
66	2148	3548
67	2181	3598
68	2214	3649
69	2247	3700
70	2280	3751
71	2313	3801
72	2346	3852
73	2379	3903
74	2412	3953
75	2445	4004
76	2478	4055
77	2511	4105
78	2544	4156
79	2577	4207
80	2610	4257
81	2643	4308
82	2676	4359
83	2709	4410
84	2742	4460
85	2775	4511
86	2808	4562
87	2841	4612
88	2874	4663
89	2907	4714
90	2940	4764
91	2973	4815
92	3006	4866
93	3039	4916
94	3072	4967
95	3105	5018
96	3138	5068
97	3171	5119
98	3204	5170
99	3237	5221
100	3270	5271
101	3303	5321
102	3336	5372
103	3369	5423
104	3402	5473
105	3435	5524
106	3468	5575
107	3501	5625
108	3534	5676
109	3567	5727
110	3600	5777
111	3633	5828
112	3666	5879
113	3699	5929
114	3732	5980
115	3765	6031
116	3798	6081
117	3831	6132
118	3864	6183
119	3897	6233
120	3930	6284
121	3963	6335
122	3996	6385
123	4029	6436
124	4062	6487
125	4095	6537
126	4128	6588
127	4161	6639
128	4194	6690
129	4227	6740
130	4260	6791
131	4293	6842
132	4326	6892
133	4359	6943
134	4392	6994
135	4425	7044
136	4458	7095
137	4491	7146
138	4524	7196
139	4557	7247
140	4590	7298
141	4623	7348
142	4656	7399
143	4689	7450
144	4722	7500
145	4755	7551
146	4788	7602
147	4821	7652
148	4854	7703
149	4887	7754
150	4920	7804
