INT	INT	INT	INT	INT	INT	INT
index	ItemID	Rate	Notice	Reserve1	Reserve2	Reserve3
0	50313006	7000	0			
1	50313001	8000	0			
2	50313002	8000	0			
3	50313003	8000	0			
4	50313004	8000	0			
5	50313005	8000	0			
6	50314001	8000	0			
7	50413006	400	1			
8	50413001	500	1			
9	50413002	500	1			
10	50413003	650	1			
11	50413004	650	1			
12	50413005	650	1			
13	50414001	650	1			
14	50513006	100	1			
15	50513001	130	1			
16	50513002	130	1			
17	50513003	160	1			
18	50513004	160	1			
19	50513005	160	1			
20	50514001	160	1			
21	50613006	24	1			
22	50613001	33	1			
23	50613002	33	1			
24	50613003	40	1			
25	50613004	40	1			
26	50613005	40	1			
27	50614001	40	1			
28	30008018	25000	0			
29	30900014	7000	0			
30	10141044	2000	0			
31	30309152	3750	0			
32	30309165	2000	0			
